date,modal_price,min_price,max_price,year,month,day_of_year,weekday,spread,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90
2020-08-06,4194.166123778502,4050.172638436482,4316.055374592834,2020,8,219,3,265.8827361563517,3987.4155555555553,5122.068783068783,4143.2,5148.647727272727,4167.270885982144,4309.432443030358,4363.648371464516
2020-08-07,4323.074380165289,4184.834710743801,4425.053719008264,2020,8,220,4,240.2190082644629,4194.166123778502,5079.169491525424,4061.537037037037,4084.987124463519,4059.2572986449823,4317.368684887084,4365.760164721764
2020-08-08,4556.095744680851,4443.797872340426,4653.989361702128,2020,8,221,5,210.19148936170222,4323.074380165289,4054.8529411764707,4213.989247311828,3923.77304964539,4130.863413431322,4338.446108054933,4371.748768234091
2020-08-09,4657.904977375566,4526.809954751131,4754.122171945702,2020,8,222,6,227.31221719457062,4556.095744680851,3901.92817679558,4336.98,3712.774647887324,4238.860099228463,4369.950452371208,4379.644934649375
2020-08-10,4764.937888198758,4666.540372670807,4846.894409937888,2020,8,223,0,180.35403726708046,4657.904977375566,3875.44,4542.455813953488,4111.533333333334,4365.931226113999,4391.730604200055,4385.737326279256
2020-08-11,5015.766666666666,4950.95,5080.633333333333,2020,8,224,1,129.6833333333334,4764.937888198758,4077.9239130434785,4710.487951807229,3959.755364806867,4499.908762345884,4426.930980928714,4396.860966210578
2020-08-12,5041.843373493976,4961.024096385542,5057.301204819277,2020,8,225,2,96.27710843373461,5015.766666666666,3987.4155555555553,4811.556213017751,4166.804347826087,4650.541307765658,4456.098948450978,4406.976374278302
2020-09-01,4084.3418803418804,3964.735042735043,4148.6324786324785,2020,9,245,1,183.89743589743557,5041.843373493976,4194.166123778502,5122.068783068783,4291.9860557768925,4634.852130131855,4449.177475936477,4404.604818735494
2020-09-02,3968.8970588235293,3844.8823529411766,3984.6911764705883,2020,9,246,2,139.8088235294117,4084.3418803418804,4323.074380165289,5079.169491525424,4514.282608695652,4584.255369940175,4430.9979576074065,4398.175469816439
2020-09-03,3733.7818181818184,3532.612121212121,3847.339393939394,2020,9,247,3,314.727272727273,3968.8970588235293,4556.095744680851,4054.8529411764707,4694.0,4466.781951868885,4398.990684880134,4388.026543516401
2020-09-04,4106.068181818182,4016.693181818182,4169.477272727273,2020,9,248,4,152.784090909091,3733.7818181818184,4657.904977375566,3901.92817679558,4805.049079754601,4387.948123932116,4375.691321615586,4380.935057905575
2020-09-05,4085.460606060606,4003.9333333333334,4145.763636363637,2020,9,249,5,141.83030303030318,4106.068181818182,4764.937888198758,3875.44,5128.344339622641,4290.879940769523,4340.9285304968525,4371.478200442052
2020-09-06,4188.958598726114,4037.296178343949,4309.761146496815,2020,9,250,6,272.4649681528658,4085.460606060606,5015.766666666666,4077.9239130434785,5109.2037037037035,4172.764502492301,4310.2536936642655,4361.572322613389
2020-09-07,4297.002252252252,4167.59009009009,4415.04954954955,2020,9,251,0,247.45945945946005,4188.958598726114,5041.843373493976,3987.4155555555553,4061.85593220339,4066.358628029198,4318.091904332561,4362.976546604822
2020-09-08,4552.0,4416.259259259259,4649.074074074074,2020,9,252,1,232.81481481481478,4297.002252252252,4084.3418803418804,4194.166123778502,3861.0940860215055,4133.1669308375,4341.122101465177,4369.380761164209
2020-09-09,4658.259259259259,4508.3374485596705,4772.650205761317,2020,9,253,2,264.3127572016465,4552.0,3968.8970588235293,4323.074380165289,3744.3583690987125,4231.647245185462,4371.585464470529,4378.516216112052
2020-09-10,4787.736263736264,4643.593406593406,4893.274725274725,2020,9,254,3,249.68131868131877,4658.259259259259,3733.7818181818184,4556.095744680851,4143.2,4382.2121659789545,4393.070006595071,4385.449665637436
